Date,SKU,Product_Name,Product_Category,City,Warehouse,Stock_Begin,Stock_Sold,Stock_End,Demand_Mean_7P,Demand_Std_7P,Demand_CV,Seasonality_Factor,Ordering_Cost,Holding_Cost_Per_Unit,Transportation_Cost,Unit_Value,Lead_Time_Mean,Lead_Time_Std,Classical_EOQ,Optimal_Order_Quantity,Optimal_Multiplier,Expected_Total_Cost,Expected_Service_Level,Stock_Turnover,Days_Since_Period_Start,Period_Index
2025-01-01,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,155,27,128,27.0,8.1,0.3,1.0,50.0,6.26,20,6.0,3,1.0,150,75,0.5,29918.15,0.99,0.17419354838709677,0,0
2025-01-08,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,128,23,105,23.0,6.8999999999999995,0.3,1.0180805020382984,50.0,6.26,20,6.0,3,1.0,138,69,0.5,26418.16,0.99,0.1796875,1,1
2025-01-15,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,105,22,83,22.0,6.6,0.3,1.0358973496431336,50.0,6.26,20,6.0,3,1.0,135,67,0.5,25467.67,0.99,0.20952380952380953,2,2
2025-01-22,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,227,20,207,20.0,6.0,0.3,1.0531907330563803,50.0,8.14,20,6.0,3,1.0,113,56,0.5,28942.72,0.99,0.0881057268722467,3,3
2025-01-29,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,274,24,250,24.0,7.199999999999999,0.3,1.0697084758065654,50.01,8.14,20,6.0,3,1.0,124,62,0.5,33475.69,0.99,0.08759124087591241,4,4
2025-02-05,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,306,28,278,28.0,8.4,0.3,1.0852097120096733,50.01,8.14,20,6.0,3,1.0,133,66,0.5,37610.02,0.99,0.0915032679738562,5,5
2025-02-12,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,278,22,256,23.714285714285715,2.657296462534039,0.11205467010685707,1.0994683987361193,50.01,8.14,20,6.0,3,1.0,123,61,0.5,31250.53,0.99,0.07913669064748201,6,6
2025-02-19,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,445,32,413,24.428571428571427,3.8491981672307087,0.15756951561763136,1.112276612225665,50.01,8.14,20,6.0,3,1.0,125,62,0.5,32296.1,0.99,0.07191011235955057,7,7
2025-02-26,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,413,28,385,25.142857142857142,3.9795395077668916,0.15827713951345593,1.1234475798840484,50.02,8.14,20,6.0,3,1.0,126,63,0.5,33050.18,0.99,0.06779661016949153,8,8
2025-03-05,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,447,25,422,25.571428571428573,3.7742413753208304,0.14759603143712743,1.1328184038479816,50.02,8.14,20,6.0,3,1.0,128,64,0.5,33490.06,0.99,0.05592841163310962,9,9
2025-03-12,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,485,21,464,25.714285714285715,3.5742845723419436,0.13899995559107559,1.1402524364028122,50.02,8.14,20,6.0,3,1.0,128,64,0.5,33536.79,0.99,0.04329896907216495,10,10
2025-03-19,SKU_1,Head & Shoulders Shampoo,Personal Care,Berlin,Berlin WH,464,32,432,26.857142857142858,4.085814184592883,0.1521313792135648,1.1456412726139078,50.02,8.14,20,6.0,3,1.0,131,65,0.5,34716.36,0.99,0.06896551724137931,11,11
